iid,id,wave,pid,age,amb1_1,amb2_1,amb3_1,art,attr1_1,attr2_1,attr3_1,career_c,clubbing,concerts,date,dining,exercise,exphappy,field_cd,fun1_1,fun2_1,fun3_1,gaming,gender,go_out,goal,hiking,imprace,imprelig,intel1_1,intel2_1,intel3_1,movies,museums,music,race,reading,shar1_1,shar2_1,shopping,sinc1_1,sinc2_1,sinc3_1,sports,theater,tv,tvsports,yoga,dec,match
1,1,1,11,21.0,15.0,5.0,7.0,1.0,15.0,35.0,6.0,2.0,5.0,10.0,7.0,9.0,8.0,3.0,1.0,15.0,20.0,8.0,1.0,0.0,1.0,2.0,5.0,2.0,4.0,20.0,15.0,8.0,10.0,1.0,9.0,4.0,6.0,15.0,5.0,8.0,20.0,20.0,8.0,9.0,1.0,9.0,2.0,1.0,1,0
1,1,1,12,21.0,15.0,5.0,7.0,1.0,15.0,35.0,6.0,2.0,5.0,10.0,7.0,9.0,8.0,3.0,1.0,15.0,20.0,8.0,1.0,0.0,1.0,2.0,5.0,2.0,4.0,20.0,15.0,8.0,10.0,1.0,9.0,4.0,6.0,15.0,5.0,8.0,20.0,20.0,8.0,9.0,1.0,9.0,2.0,1.0,1,0
1,1,1,13,21.0,15.0,5.0,7.0,1.0,15.0,35.0,6.0,2.0,5.0,10.0,7.0,9.0,8.0,3.0,1.0,15.0,20.0,8.0,1.0,0.0,1.0,2.0,5.0,2.0,4.0,20.0,15.0,8.0,10.0,1.0,9.0,4.0,6.0,15.0,5.0,8.0,20.0,20.0,8.0,9.0,1.0,9.0,2.0,1.0,1,1
1,1,1,14,21.0,15.0,5.0,7.0,1.0,15.0,35.0,6.0,2.0,5.0,10.0,7.0,9.0,8.0,3.0,1.0,15.0,20.0,8.0,1.0,0.0,1.0,2.0,5.0,2.0,4.0,20.0,15.0,8.0,10.0,1.0,9.0,4.0,6.0,15.0,5.0,8.0,20.0,20.0,8.0,9.0,1.0,9.0,2.0,1.0,1,1
1,1,1,15,21.0,15.0,5.0,7.0,1.0,15.0,35.0,6.0,2.0,5.0,10.0,7.0,9.0,8.0,3.0,1.0,15.0,20.0,8.0,1.0,0.0,1.0,2.0,5.0,2.0,4.0,20.0,15.0,8.0,10.0,1.0,9.0,4.0,6.0,15.0,5.0,8.0,20.0,20.0,8.0,9.0,1.0,9.0,2.0,1.0,1,1
1,1,1,16,21.0,15.0,5.0,7.0,1.0,15.0,35.0,6.0,2.0,5.0,10.0,7.0,9.0,8.0,3.0,1.0,15.0,20.0,8.0,1.0,0.0,1.0,2.0,5.0,2.0,4.0,20.0,15.0,8.0,10.0,1.0,9.0,4.0,6.0,15.0,5.0,8.0,20.0,20.0,8.0,9.0,1.0,9.0,2.0,1.0,0,0
1,1,1,17,21.0,15.0,5.0,7.0,1.0,15.0,35.0,6.0,2.0,5.0,10.0,7.0,9.0,8.0,3.0,1.0,15.0,20.0,8.0,1.0,0.0,1.0,2.0,5.0,2.0,4.0,20.0,15.0,8.0,10.0,1.0,9.0,4.0,6.0,15.0,5.0,8.0,20.0,20.0,8.0,9.0,1.0,9.0,2.0,1.0,1,0
1,1,1,18,21.0,15.0,5.0,7.0,1.0,15.0,35.0,6.0,2.0,5.0,10.0,7.0,9.0,8.0,3.0,1.0,15.0,20.0,8.0,1.0,0.0,1.0,2.0,5.0,2.0,4.0,20.0,15.0,8.0,10.0,1.0,9.0,4.0,6.0,15.0,5.0,8.0,20.0,20.0,8.0,9.0,1.0,9.0,2.0,1.0,0,0
1,1,1,19,21.0,15.0,5.0,7.0,1.0,15.0,35.0,6.0,2.0,5.0,10.0,7.0,9.0,8.0,3.0,1.0,15.0,20.0,8.0,1.0,0.0,1.0,2.0,5.0,2.0,4.0,20.0,15.0,8.0,10.0,1.0,9.0,4.0,6.0,15.0,5.0,8.0,20.0,20.0,8.0,9.0,1.0,9.0,2.0,1.0,1,1
1,1,1,20,21.0,15.0,5.0,7.0,1.0,15.0,35.0,6.0,2.0,5.0,10.0,7.0,9.0,8.0,3.0,1.0,15.0,20.0,8.0,1.0,0.0,1.0,2.0,5.0,2.0,4.0,20.0,15.0,8.0,10.0,1.0,9.0,4.0,6.0,15.0,5.0,8.0,20.0,20.0,8.0,9.0,1.0,9.0,2.0,1.0,1,0
2,2,1,11,24.0,0.0,0.0,3.0,6.0,45.0,65.0,7.0,2.0,8.0,7.0,5.0,10.0,7.0,4.0,1.0,20.0,25.0,10.0,5.0,0.0,1.0,1.0,3.0,2.0,5.0,25.0,10.0,8.0,8.0,8.0,8.0,2.0,10.0,5.0,0.0,3.0,5.0,0.0,5.0,3.0,9.0,1.0,2.0,1.0,0,0
2,2,1,12,24.0,0.0,0.0,3.0,6.0,45.0,65.0,7.0,2.0,8.0,7.0,5.0,10.0,7.0,4.0,1.0,20.0,25.0,10.0,5.0,0.0,1.0,1.0,3.0,2.0,5.0,25.0,10.0,8.0,8.0,8.0,8.0,2.0,10.0,5.0,0.0,3.0,5.0,0.0,5.0,3.0,9.0,1.0,2.0,1.0,0,0
2,2,1,13,24.0,0.0,0.0,3.0,6.0,45.0,65.0,7.0,2.0,8.0,7.0,5.0,10.0,7.0,4.0,1.0,20.0,25.0,10.0,5.0,0.0,1.0,1.0,3.0,2.0,5.0,25.0,10.0,8.0,8.0,8.0,8.0,2.0,10.0,5.0,0.0,3.0,5.0,0.0,5.0,3.0,9.0,1.0,2.0,1.0,0,0
2,2,1,14,24.0,0.0,0.0,3.0,6.0,45.0,65.0,7.0,2.0,8.0,7.0,5.0,10.0,7.0,4.0,1.0,20.0,25.0,10.0,5.0,0.0,1.0,1.0,3.0,2.0,5.0,25.0,10.0,8.0,8.0,8.0,8.0,2.0,10.0,5.0,0.0,3.0,5.0,0.0,5.0,3.0,9.0,1.0,2.0,1.0,1,1
2,2,1,15,24.0,0.0,0.0,3.0,6.0,45.0,65.0,7.0,2.0,8.0,7.0,5.0,10.0,7.0,4.0,1.0,20.0,25.0,10.0,5.0,0.0,1.0,1.0,3.0,2.0,5.0,25.0,10.0,8.0,8.0,8.0,8.0,2.0,10.0,5.0,0.0,3.0,5.0,0.0,5.0,3.0,9.0,1.0,2.0,1.0,0,0
2,2,1,16,24.0,0.0,0.0,3.0,6.0,45.0,65.0,7.0,2.0,8.0,7.0,5.0,10.0,7.0,4.0,1.0,20.0,25.0,10.0,5.0,0.0,1.0,1.0,3.0,2.0,5.0,25.0,10.0,8.0,8.0,8.0,8.0,2.0,10.0,5.0,0.0,3.0,5.0,0.0,5.0,3.0,9.0,1.0,2.0,1.0,0,0
